Transaction ID,Product ID,Location ID,Transaction Type,Quantity,Unit Cost,Transaction Date,Reference Number,Created By User
TXN-00048,ELE-ABS-142,RIO-002,TRANSFER,-82,2132.33,3/4/2025,PO-0006,Aarav Mehta
TXN-00049,QUA-MIC-147,TOK-001,ISSUE,-285,740.49,6/21/2025,PO-0011,Diana Mihai
TXN-00050,MEC-NUT-054,NAG-003,TRANSFER,-472,1068.61,4/30/2025,PO-0028,Natalie Singh
TXN-00051,LIG-ROO-166,RIO-002,TRANSFER,-82,1685.34,3/14/2025,PO-0024,Julia Novak
TXN-00052,MEC-FAS-158,RIO-002,ISSUE,-109,1595.18,3/2/2025,PO-0024,Martin Svensson
TXN-00053,LIG-XEN-205,TOK-001,RECEIPT,445,946.72,6/21/2025,PO-0060,Linda Taylor
TXN-00054,MEC-HOO-141,DEL-002,ISSUE,-353,2423.32,2/18/2025,PO-0033,Chloe Smith
TXN-00055,PLA-CUP-051,NAG-003,TRANSFER,-259,376.91,4/26/2025,PO-0046,Grace O'Connor
TXN-00056,LIG-HEA-172,OSA-002,RECEIPT,61,1640.76,4/14/2025,PO-0080,Tom Novak
TXN-00057,TOO-SAW-050,DAL-003,ISSUE,-240,2380.48,4/26/2025,PO-0079,Keiko Mori
TXN-00058,RAW-TEX-079,NAG-003,TRANSFER,-88,1933.48,6/25/2025,PO-0073,James Walker
TXN-00059,BRA-BRA-207,DAL-003,ISSUE,-96,401.95,2/2/2025,PO-0041,David Lopez
TXN-00060,BRA-BRA-202,NEW-001,TRANSFER,-388,690.44,7/15/2025,PO-0056,Rania El-Sayed
TXN-00061,RAW-COP-216,DAL-003,RECEIPT,357,203.88,4/26/2025,PO-0062,Mateusz Kowalski
TXN-00062,TOO-WEL-115,DAL-003,ISSUE,-259,1354.55,6/22/2025,PO-0014,Mia Johansson
TXN-00063,LIG-ROO-166,TOK-001,RECEIPT,440,1685.34,4/13/2025,PO-0018,Gabriel Torres
TXN-00064,PLA-CUP-051,CHI-002,TRANSFER,-463,376.91,7/11/2025,PO-0010,Jasmin Berger
TXN-00065,PLA-SID-020,BRA-003,RECEIPT,444,930.12,6/10/2025,PO-0081,Carlos Silva
TXN-00066,PAC-SHR-209,TOK-001,TRANSFER,-217,546.77,7/2/2025,PO-0028,Fatima Noor
TXN-00067,ELE-ABS-142,CHI-002,TRANSFER,-467,2132.33,6/19/2025,PO-0061,Santiago Herrera
TXN-00068,BRA-BRA-199,HYD-003,ISSUE,-210,1210.65,3/30/2025,PO-0099,Leo Schneider
TXN-00069,BRA-CAL-188,RIO-002,ISSUE,-78,812.06,5/30/2025,PO-0065,Aditya Varma
TXN-00070,LIG-NUM-024,BER-001,ISSUE,-267,1226.44,2/3/2025,PO-0085,Hannah Becker
TXN-00071,ELE-GPS-218,SAO-001,TRANSFER,-360,1155.64,3/15/2025,PO-0097,Aditya Varma
TXN-00072,PAC-AIR-036,MUN-002,RECEIPT,101,490.89,6/25/2025,PO-0073,Keiko Mori
TXN-00073,BRA-BRA-038,NAG-003,TRANSFER,-257,2193.83,5/3/2025,PO-0006,Julia Novak
TXN-00074,QUA-CAL-195,MUN-002,RECEIPT,42,2081.11,4/9/2025,PO-0048,Ahmed Khan
TXN-00075,CAB-SPE-011,OSA-002,RECEIPT,275,748.8,5/4/2025,PO-0050,Yara Mahmoud
TXN-00076,QUA-FEE-117,BRA-003,RECEIPT,30,2091.54,7/17/2025,PO-0042,Lucas Schmidt
TXN-00077,MEC-CRA-181,FRA-003,TRANSFER,-434,2167.46,4/12/2025,PO-0095,Victor Ivanov
TXN-00078,CAB-DOO-149,FRA-003,TRANSFER,-99,206.63,5/8/2025,PO-0084,Khaled Hamdan
TXN-00079,PLA-INS-094,TOK-001,TRANSFER,-469,636,2/20/2025,PO-0067,Sofia Garcia
TXN-00080,LIG-HIG-097,BRA-003,RECEIPT,274,747.65,5/15/2025,PO-0046,Sebastian Miller
TXN-00081,MEC-SPA-125,SAO-001,ISSUE,-464,138.51,7/5/2025,PO-0001,Mei Lin
TXN-00082,PAC-AIR-036,MUN-002,RECEIPT,127,490.89,2/20/2025,PO-0066,Linda Taylor
TXN-00083,RAW-COP-072,NEW-001,RECEIPT,105,1181.06,3/13/2025,PO-0047,Tariq Abdullah
TXN-00084,RAW-CAS-184,RIO-002,RECEIPT,348,1947.26,3/31/2025,PO-0054,Ivan Petrov
TXN-00085,BRA-BRA-185,DEL-002,ISSUE,-355,561.66,6/3/2025,PO-0062,Lea Zimmermann
TXN-00086,MEC-SHA-152,HYD-003,TRANSFER,-436,403.36,5/17/2025,PO-0003,David Lopez
TXN-00087,ELE-SEN-012,HYD-003,TRANSFER,-313,134.85,3/14/2025,PO-0018,Elif Yilmaz
TXN-00088,MEC-STU-132,BAN-001,TRANSFER,-85,1933.96,2/15/2025,PO-0022,Victor Ivanov
TXN-00089,MEC-RET-047,FRA-003,ISSUE,-316,1966.54,6/25/2025,PO-0082,Emily Wang
TXN-00090,BRA-BRA-185,NAG-003,TRANSFER,-430,561.66,4/14/2025,PO-0011,Samuel Wright
TXN-00091,TOO-WEL-115,TOK-001,ISSUE,-454,1354.55,6/4/2025,PO-0022,Julia Novak
TXN-00092,CAB-CLU-213,BER-001,TRANSFER,-83,827.02,6/30/2025,PO-0099,William Brown
TXN-00093,RAW-RUB-160,OSA-002,TRANSFER,-145,918.5,3/15/2025,PO-0093,Jacob Scott
TXN-00094,LIG-DAY-088,BRA-003,ISSUE,-315,857.44,7/2/2025,PO-0009,Ahmed Khan
TXN-00095,LIG-HIG-097,BER-001,RECEIPT,65,747.65,2/5/2025,PO-0026,Clara Weber
TXN-00096,MEC-CHA-130,OSA-002,ISSUE,-433,690.83,3/11/2025,PO-0078,Chloe Smith
TXN-00097,CAB-BAT-046,MUN-002,TRANSFER,-317,1374.36,2/10/2025,PO-0069,Mei Lin
TXN-00098,CAB-GRO-193,DEL-002,RECEIPT,256,1826.74,7/19/2025,PO-0017,Tariq Abdullah
TXN-00099,MEC-BRA-139,RIO-002,RECEIPT,469,258.28,7/24/2025,PO-0084,Ben Williams
TXN-00100,QUA-LEA-134,BER-001,ISSUE,-457,1121.9,2/12/2025,PO-0090,Samuel Kim
TXN-00101,LIG-SIG-110,NEW-001,ISSUE,-414,1760.44,5/9/2025,PO-0045,Leo Schneider
TXN-00102,TOO-DIA-206,NAG-003,TRANSFER,-304,1806.77,2/26/2025,PO-0055,Juan Perez
TXN-00103,LIG-CAB-066,MUN-002,RECEIPT,475,1225.69,2/22/2025,PO-0037,Camila Morales
TXN-00104,PAC-SEA-140,BER-001,ISSUE,-106,2178.62,2/2/2025,PO-0091,Victor Hugo
TXN-00105,PAC-COR-203,BAN-001,TRANSFER,-277,461.7,3/3/2025,PO-0067,Aarav Mehta
TXN-00106,LIG-HIG-097,OSA-002,RECEIPT,362,747.65,4/22/2025,PO-0053,James Walker
TXN-00107,LIG-INS-028,HYD-003,ISSUE,-343,929.35,6/30/2025,PO-0033,Victor Ivanov
TXN-00108,PLA-DOO-219,FRA-003,ISSUE,-299,2112.77,5/5/2025,PO-0079,Rania El-Sayed
TXN-00109,ELE-CON-175,BER-001,RECEIPT,221,696.94,6/22/2025,PO-0072,Nikhil Rao
TXN-00110,CAB-BAT-046,DAL-003,TRANSFER,-294,1374.36,6/4/2025,PO-0033,Diana Mihai
TXN-00111,PAC-CAR-148,DAL-003,TRANSFER,-213,1036.01,3/8/2025,PO-0085,Daniel Kim
TXN-00112,PAC-STR-192,NEW-001,ISSUE,-410,2221.35,7/30/2025,PO-0021,Chloe Smith
TXN-00113,CAB-ACC-055,FRA-003,ISSUE,-412,630.5,4/28/2025,PO-0071,Marie Dubois
TXN-00114,CAB-TAI-179,OSA-002,TRANSFER,-36,1938.18,3/14/2025,PO-0050,Vinay Kumar
TXN-00115,BRA-WHE-002,SAO-001,RECEIPT,431,1172.89,3/10/2025,PO-0061,Camila Morales
TXN-00116,MEC-LAT-112,DEL-002,RECEIPT,144,1365.96,3/29/2025,PO-0048,Isla Thompson
TXN-00117,RAW-NYL-156,BAN-001,TRANSFER,-206,1419.16,5/14/2025,PO-0079,Santiago Herrera
TXN-00118,QUA-LEA-134,CHI-002,TRANSFER,-315,1121.9,2/15/2025,PO-0100,Mia Johansson
TXN-00119,BRA-BRA-164,MUN-002,ISSUE,-15,360.48,3/24/2025,PO-0085,Natalie Becker
TXN-00120,ELE-RAD-133,CHI-002,RECEIPT,27,2053.17,7/4/2025,PO-0066,Clara Weber
TXN-00121,CAB-TAI-179,NEW-001,TRANSFER,-96,1938.18,7/23/2025,PO-0005,James Walker
TXN-00122,MEC-PIN-062,OSA-002,RECEIPT,90,963.76,2/23/2025,PO-0036,Priya Desai
TXN-00123,TOO-PUN-103,DAL-003,TRANSFER,-212,2029.74,5/15/2025,PO-0076,Raj Patel
TXN-00124,ELE-RAD-133,BAN-001,TRANSFER,-370,2053.17,2/18/2025,PO-0012,Tuan Nguyen
TXN-00125,TOO-TES-073,NAG-003,TRANSFER,-478,1628.86,6/30/2025,PO-0045,Sebastian Miller
TXN-00126,PAC-SHR-209,CHI-002,RECEIPT,320,546.77,3/22/2025,PO-0059,Haruto Saito
TXN-00127,PAC-CAR-148,BAN-001,ISSUE,-99,1036.01,5/16/2025,PO-0065,Lucas Schmidt
TXN-00128,RAW-FOA-144,DEL-002,TRANSFER,-160,1714.15,4/29/2025,PO-0015,Natalie Becker
TXN-00129,MEC-STU-132,CHI-002,TRANSFER,-426,1933.96,6/28/2025,PO-0033,Zara Khalid
TXN-00130,TOO-RIV-114,BER-001,TRANSFER,-257,1177.06,4/4/2025,PO-0097,Emily Chan
TXN-00131,BRA-BRA-199,MUN-002,TRANSFER,-245,1210.65,7/1/2025,PO-0004,Nikhil Rao
TXN-00132,TOO-VER-030,CHI-002,RECEIPT,205,1708.35,7/13/2025,PO-0029,Sara Cohen
TXN-00133,LIG-HAZ-180,NEW-001,ISSUE,-221,2468.94,5/2/2025,PO-0067,Gabriel Torres
TXN-00134,PAC-PAC-003,NAG-003,ISSUE,-137,1823.25,4/15/2025,PO-0012,Haruto Saito
TXN-00135,QUA-HEI-173,NAG-003,ISSUE,-48,1728.8,6/22/2025,PO-0023,Yara Mahmoud
TXN-00136,BRA-BRA-081,DAL-003,RECEIPT,467,859.67,6/27/2025,PO-0035,William Brown
TXN-00137,PAC-STR-192,OSA-002,RECEIPT,265,2221.35,3/24/2025,PO-0031,Neha Kapoor
TXN-00138,MEC-PIN-062,RIO-002,ISSUE,-115,963.76,3/31/2025,PO-0026,David Lopez
TXN-00139,ELE-RAI-215,TOK-001,ISSUE,-89,2155.79,2/28/2025,PO-0016,Isla Thompson
TXN-00140,PAC-THE-174,OSA-002,ISSUE,-324,257.39,2/2/2025,PO-0098,Freya Evans
TXN-00141,CAB-SPE-011,RIO-002,ISSUE,-200,748.8,7/9/2025,PO-0041,Chen Xi
TXN-00142,PAC-CAR-148,RIO-002,ISSUE,-261,1036.01,3/19/2025,PO-0098,Aditya Varma
TXN-00143,RAW-COP-072,BER-001,RECEIPT,394,1181.06,6/28/2025,PO-0017,Takeshi Yamamoto
TXN-00144,PAC-PAP-135,SAO-001,ISSUE,-254,2332.8,6/19/2025,PO-0005,Mei Lin
TXN-00145,CAB-THR-089,BER-001,TRANSFER,-407,2370.68,3/17/2025,PO-0059,Daniel Kim
TXN-00146,CAB-TAI-179,FRA-003,ISSUE,-171,1938.18,7/27/2025,PO-0002,Liam Johnson
TXN-00147,QUA-HEI-173,NEW-001,ISSUE,-307,1728.8,2/26/2025,PO-0042,James Walker
TXN-00148,QUA-COA-157,RIO-002,ISSUE,-105,2261.35,6/21/2025,PO-0034,Hannah Becker
TXN-00149,TOO-BEA-069,MUN-002,TRANSFER,-185,219.03,5/5/2025,PO-0024,Chen Xi
TXN-00150,PLA-CEN-109,NEW-001,ISSUE,-368,1488.59,5/7/2025,PO-0047,Haruto Saito
TXN-00151,RAW-COP-072,MUN-002,RECEIPT,302,1181.06,3/6/2025,PO-0074,Jacob Scott
TXN-00152,TOO-THR-059,RIO-002,RECEIPT,379,2101.26,4/11/2025,PO-0031,Ali Reza
TXN-00153,TOO-HYD-111,RIO-002,ISSUE,-110,1478.58,3/10/2025,PO-0095,Chen Wei
TXN-00154,QUA-MEA-122,SAO-001,RECEIPT,100,1142.52,5/19/2025,PO-0064,Juan Perez
TXN-00155,ELE-GPS-218,OSA-002,TRANSFER,-283,1155.64,4/22/2025,PO-0063,Igor Popov
TXN-00156,QUA-MUL-065,FRA-003,TRANSFER,-34,24.68,5/13/2025,PO-0013,Zara Khalid
TXN-00157,LIG-IND-042,BAN-001,RECEIPT,426,184.23,4/7/2025,PO-0061,Elif Yilmaz
TXN-00158,MEC-CLI-025,MUN-002,TRANSFER,-181,1064.7,4/8/2025,PO-0047,James Walker
TXN-00159,RAW-FOA-144,FRA-003,ISSUE,-186,1714.15,2/6/2025,PO-0053,Daniel Kim
TXN-00160,PAC-FOA-090,RIO-002,TRANSFER,-320,1897.83,3/23/2025,PO-0074,Noah Becker
TXN-00161,BRA-DRU-167,OSA-002,TRANSFER,-99,1690.34,4/14/2025,PO-0046,Amelia Clarke
TXN-00162,QUA-HEI-173,FRA-003,ISSUE,-406,1728.8,5/26/2025,PO-0011,Khaled Hamdan
TXN-00163,MEC-FAS-158,CHI-002,ISSUE,-333,1595.18,3/10/2025,PO-0022,Vinay Kumar
TXN-00164,BRA-BRA-207,BRA-003,ISSUE,-225,401.95,7/12/2025,PO-0079,Noah Becker
TXN-00165,TOO-MEA-104,RIO-002,RECEIPT,50,1399.6,3/14/2025,PO-0044,Ahmed Khan
TXN-00166,BRA-BRA-081,DAL-003,TRANSFER,-159,859.67,8/1/2025,PO-0035,Tariq Abdullah
TXN-00167,LIG-ROO-166,BER-001,ISSUE,-464,1685.34,5/25/2025,PO-0100,James Walker
TXN-00168,PAC-STR-192,TOK-001,TRANSFER,-240,2221.35,5/17/2025,PO-0022,William Brown
TXN-00169,PLA-DOO-219,BAN-001,RECEIPT,382,2112.77,4/2/2025,PO-0085,Sofia Garcia
TXN-00170,PLA-AIR-191,NAG-003,TRANSFER,-50,1757.43,3/26/2025,PO-0022,Laura Rossi
TXN-00171,ELE-STE-027,DEL-002,RECEIPT,489,34.08,6/2/2025,PO-0071,Takeshi Yamamoto
TXN-00172,CAB-STA-007,SAO-001,ISSUE,-278,2316.65,2/22/2025,PO-0014,Victor Ivanov
TXN-00173,LIG-TRU-159,HYD-003,RECEIPT,345,1619.39,5/11/2025,PO-0040,Ahmed Khan
TXN-00174,MEC-BOL-064,NAG-003,ISSUE,-236,2083.9,7/11/2025,PO-0017,Grace O'Connor
TXN-00175,PAC-PAP-135,RIO-002,RECEIPT,24,2332.8,2/9/2025,PO-0085,Aisha Khan
TXN-00176,CAB-IGN-084,RIO-002,ISSUE,-249,1094.58,6/19/2025,PO-0035,Tuan Nguyen
TXN-00177,TOO-RIV-114,HYD-003,TRANSFER,-286,1177.06,3/18/2025,PO-0076,Camila Morales
TXN-00178,QUA-FEE-117,OSA-002,TRANSFER,-335,2091.54,6/25/2025,PO-0056,Samuel Kim
TXN-00179,BRA-BRA-164,OSA-002,TRANSFER,-168,360.48,4/30/2025,PO-0062,Freya Evans
TXN-00180,TOO-THR-059,SAO-001,RECEIPT,236,2101.26,4/20/2025,PO-0047,Natalie Singh
TXN-00181,TOO-SOC-067,HYD-003,ISSUE,-15,846.96,2/1/2025,PO-0067,Olivier Laurent
TXN-00182,ELE-GPS-218,HYD-003,ISSUE,-156,1155.64,6/1/2025,PO-0069,Liam Johnson
TXN-00183,RAW-STA-177,BRA-003,ISSUE,-494,840.44,6/3/2025,PO-0039,Liam Johnson
TXN-00184,BRA-PAR-197,BER-001,ISSUE,-315,890.46,4/1/2025,PO-0001,Tuan Nguyen
TXN-00185,BRA-BRA-096,NEW-001,ISSUE,-461,1849.13,6/24/2025,PO-0056,Laura Rossi
TXN-00186,MEC-BOL-064,HYD-003,TRANSFER,-387,2083.9,7/16/2025,PO-0050,Khaled Hamdan
TXN-00187,QUA-VIB-057,CHI-002,RECEIPT,226,2039.37,7/11/2025,PO-0031,Clara Weber
TXN-00188,BRA-BRA-196,SAO-001,TRANSFER,-423,1395.36,7/28/2025,PO-0088,Yuki Tanaka
TXN-00189,TOO-TES-073,OSA-002,TRANSFER,-282,1628.86,4/10/2025,PO-0053,Ines Costa
TXN-00190,PLA-DOO-219,DEL-002,RECEIPT,79,2112.77,4/16/2025,PO-0015,Vinay Kumar
TXN-00191,QUA-FEE-117,TOK-001,ISSUE,-149,2091.54,7/30/2025,PO-0080,Zoey Martin
TXN-00192,LIG-DOO-049,DAL-003,RECEIPT,87,221.14,2/13/2025,PO-0069,Emily Wang
TXN-00193,PLA-BOO-048,DEL-002,ISSUE,-147,1110.98,3/5/2025,PO-0092,Chiara Romano
TXN-00194,CAB-AC-187,BAN-001,RECEIPT,56,1718.38,3/11/2025,PO-0002,Chen Xi
TXN-00195,ELE-WIR-056,DAL-003,ISSUE,-169,1672.27,6/8/2025,PO-0048,Mateusz Kowalski
TXN-00196,CAB-TAI-179,SAO-001,RECEIPT,179,1938.18,2/21/2025,PO-0097,Nora Lindberg
TXN-00197,TOO-GRI-015,CHI-002,ISSUE,-46,214.14,6/20/2025,PO-0061,William Brown
TXN-00198,TOO-SAW-050,BRA-003,ISSUE,-428,2380.48,5/9/2025,PO-0002,Daniel Kim
TXN-00199,BRA-PAR-197,NAG-003,RECEIPT,207,890.46,5/25/2025,PO-0032,Neha Kapoor
TXN-00200,PAC-CAB-009,NEW-001,ISSUE,-386,15.37,2/25/2025,PO-0067,Martin Svensson
TXN-00201,MEC-NUT-054,MUN-002,ISSUE,-358,1068.61,4/21/2025,PO-0042,Elena Rossi
TXN-00202,ELE-KNO-162,NAG-003,RECEIPT,391,2284.58,6/21/2025,PO-0067,Daniel Kim
TXN-00203,QUA-MUL-065,MUN-002,TRANSFER,-162,24.68,3/23/2025,PO-0047,Takeshi Yamamoto
TXN-00204,PAC-GUM-171,NEW-001,RECEIPT,130,933.82,7/13/2025,PO-0056,Amelia Clarke
TXN-00205,PLA-SPO-004,HYD-003,ISSUE,-309,483.62,3/3/2025,PO-0051,Mohamed Ben Salah
TXN-00206,MEC-LOC-063,BAN-001,RECEIPT,307,1024.92,7/27/2025,PO-0061,Zara Khalid
TXN-00207,ELE-MAP-153,HYD-003,ISSUE,-404,1728.88,2/23/2025,PO-0032,Elena Rossi
TXN-00208,TOO-PRE-128,DEL-002,TRANSFER,-326,2480.72,4/28/2025,PO-0098,Elif Yilmaz
TXN-00209,BRA-BRA-016,BAN-001,ISSUE,-340,1677.62,3/12/2025,PO-0090,Gabriel Torres
TXN-00210,PAC-COR-203,DEL-002,RECEIPT,259,461.7,4/1/2025,PO-0041,Ali Reza
TXN-00211,BRA-BRA-202,OSA-002,ISSUE,-422,690.44,5/24/2025,PO-0094,Ines Costa
TXN-00212,RAW-MIL-006,NAG-003,ISSUE,-193,2154.76,3/7/2025,PO-0033,Sophia Miller
TXN-00213,MEC-SPA-125,NAG-003,ISSUE,-296,138.51,4/17/2025,PO-0070,Ryan White
TXN-00214,ELE-SPE-126,NEW-001,TRANSFER,-105,2203.31,6/20/2025,PO-0045,Amelia Clarke
TXN-00215,BRA-CAL-188,MUN-002,ISSUE,-454,812.06,7/4/2025,PO-0071,Elena Rossi
TXN-00216,CAB-STE-018,FRA-003,RECEIPT,240,1151.13,4/17/2025,PO-0034,Freya Evans
TXN-00217,PLA-INS-094,MUN-002,RECEIPT,407,636,7/14/2025,PO-0065,Khaled Hamdan
TXN-00218,BRA-CAL-188,HYD-003,RECEIPT,327,812.06,5/5/2025,PO-0100,Dmitri Fedorov
TXN-00219,MEC-PIN-062,DAL-003,TRANSFER,-42,963.76,7/19/2025,PO-0069,Mason Hill
TXN-00220,LIG-DOO-049,FRA-003,TRANSFER,-264,221.14,6/22/2025,PO-0020,Marie Dubois
TXN-00221,TOO-TES-073,DAL-003,ISSUE,-338,1628.86,4/24/2025,PO-0015,Chloe Smith
TXN-00222,QUA-LEA-134,OSA-002,RECEIPT,32,1121.9,3/6/2025,PO-0023,Fatima Noor
TXN-00223,PLA-DOO-052,DEL-002,ISSUE,-108,1041.96,2/26/2025,PO-0005,Noah Becker
TXN-00224,BRA-BRA-165,RIO-002,ISSUE,-346,1978.8,6/6/2025,PO-0068,Dmitri Fedorov
TXN-00225,LIG-HAZ-180,TOK-001,ISSUE,-35,2468.94,5/5/2025,PO-0029,Tariq Abdullah
TXN-00226,RAW-CAS-184,DEL-002,RECEIPT,486,1947.26,3/26/2025,PO-0084,Zoey Martin
TXN-00227,TOO-PLI-214,DEL-002,ISSUE,-420,956.72,7/14/2025,PO-0008,James Walker
TXN-00228,CAB-BON-143,NAG-003,ISSUE,-430,2182.23,5/6/2025,PO-0091,Zanele Dlamini
TXN-00229,TOO-SPA-211,TOK-001,ISSUE,-280,777.96,2/11/2025,PO-0094,Emma Dubois
TXN-00230,TOO-PLI-214,CHI-002,RECEIPT,493,956.72,3/28/2025,PO-0067,Chloe Smith
TXN-00231,TOO-HAM-026,NAG-003,RECEIPT,282,1596.41,5/10/2025,PO-0025,Ines Costa
TXN-00232,PAC-PAP-135,OSA-002,RECEIPT,301,2332.8,7/11/2025,PO-0023,Ali Reza
TXN-00233,PAC-STR-192,FRA-003,ISSUE,-392,2221.35,2/28/2025,PO-0099,Vinay Kumar
TXN-00234,PAC-CAR-148,DAL-003,TRANSFER,-244,1036.01,7/30/2025,PO-0086,Laila Haddad
TXN-00235,ELE-STE-027,HYD-003,RECEIPT,291,34.08,5/14/2025,PO-0065,Emily Chan
TXN-00236,PLA-SEA-169,HYD-003,TRANSFER,-317,358.04,5/25/2025,PO-0046,Omar Farouk
TXN-00237,MEC-HOO-141,DAL-003,ISSUE,-221,2423.32,7/13/2025,PO-0056,Akira Kobayashi
TXN-00238,RAW-POL-083,TOK-001,RECEIPT,298,448.58,6/20/2025,PO-0028,Khaled Hamdan
TXN-00239,BRA-PAR-197,FRA-003,TRANSFER,-140,890.46,5/4/2025,PO-0058,Ravi Shankar
