Product ID,Product Name,Category,Unit Cost,Weight (in kg),Automotive Grade,Active Status,Created Date,Last Updated Date
PLA-BUM-019,Bumper Cover,PLASTIC_MOULDINGS,540.75,0.87,N,Y,2023-03-17,2024-09-17
PLA-SID-020,Side Skirt Moulding,PLASTIC_MOULDINGS,930.12,0.56,N,Y,2023-03-12,2023-11-17
TOO-ASS-021,Assembly Jig,TOOLS & FIXTURES,1672.98,1.71,Y,Y,2024-06-25,2024-06-29
QUA-COL-022,Colorimeter,QUALITY_CONTROL_ITEMS,297.42,0.41,Y,Y,2023-05-18,2024-02-12
ELE-PAR-023,Parking Sensor,ELECTRONICS,1516.03,2.18,Y,Y,2023-10-06,2024-07-20
LIG-NUM-024,Number Plate Light,LIGHTING,1226.44,2.73,Y,Y,2023-09-28,2025-02-26
MEC-CLI-025,Clip Set,MECHANICAL_HARDWARE,1064.7,0.9,Y,Y,2023-04-05,2025-01-13
TOO-HAM-026,Hammer Set,TOOLS & FIXTURES,1596.41,0.86,N,Y,2023-12-08,2024-04-19
ELE-STE-027,Steering Angle Sensor,ELECTRONICS,34.08,0.32,Y,Y,2024-03-13,2024-12-25
LIG-INS-028,Instrument Panel Light,LIGHTING,929.35,1.7,N,Y,2023-02-06,2025-06-09
RAW-FIB-029,Fiberglass Sheet,RAW_MATERIALS,777.56,2.71,Y,Y,2023-05-11,2023-06-22
TOO-VER-030,Vernier Caliper,TOOLS & FIXTURES,1708.35,2.03,N,Y,2024-01-02,2024-08-04
PLA-GRI-031,Grille Frame,PLASTIC_MOULDINGS,2315.15,0.79,Y,Y,2024-02-21,2024-07-28
BRA-BRA-032,Brake Proportioning Valve,BRAKE_COMPONENTS,71.72,2.24,N,Y,2023-07-01,2024-08-26
ELE-TEM-033,Temperature Sensor,ELECTRONICS,674.35,2.38,Y,Y,2024-02-26,2024-11-06
RAW-LEA-034,Lead Ingot,RAW_MATERIALS,2147.9,0.75,N,Y,2024-01-27,2024-03-06
QUA-IMP-035,Impact Tester,QUALITY_CONTROL_ITEMS,2053.14,2.63,Y,Y,2023-12-25,2024-11-01
PAC-AIR-036,Air Pillow Packaging,PACKAGING_MATERIALS,490.89,1.05,Y,Y,2023-01-25,2024-11-30
BRA-BRA-037,Brake Drum,BRAKE_COMPONENTS,1607.29,1.26,N,Y,2023-10-13,2024-10-06
BRA-BRA-038,Brake Shoe,BRAKE_COMPONENTS,2193.83,0.86,N,Y,2023-01-29,2023-05-27
CAB-POW-039,Power Cable,CABLES,1495.46,1.1,N,Y,2023-02-09,2023-05-31
PAC-WIR-040,Wire Tie,PACKAGING_MATERIALS,2460.75,0.44,Y,Y,2024-03-22,2025-01-26
MEC-LEV-041,Lever Arm,MECHANICAL_HARDWARE,1774.88,0.1,Y,Y,2023-09-18,2023-11-02
LIG-IND-042,Indicator Light,LIGHTING,184.23,2.03,N,Y,2024-01-08,2025-03-24
BRA-BRA-043,Brake Master Cylinder,BRAKE_COMPONENTS,1802.19,0.97,N,Y,2023-11-18,2024-03-24
BRA-BRA-044,Brake Retainer Clip,BRAKE_COMPONENTS,1011.98,0.96,Y,Y,2024-02-23,2025-01-22
QUA-HAR-045,Hardness Tester,QUALITY_CONTROL_ITEMS,1665.67,1.2,Y,Y,2023-07-16,2024-09-18
CAB-BAT-046,Battery Cable,CABLES,1374.36,0.1,N,Y,2023-11-05,2024-12-24
MEC-RET-047,Retaining Ring Set,MECHANICAL_HARDWARE,1966.54,1.86,N,Y,2023-08-04,2024-10-17
PLA-BOO-048,Boot Lid Trim,PLASTIC_MOULDINGS,1110.98,0.72,N,Y,2024-04-21,2024-12-03
LIG-DOO-049,Door Courtesy Light,LIGHTING,221.14,1.59,N,Y,2023-06-23,2025-04-27
TOO-SAW-050,Saw Blade,TOOLS & FIXTURES,2380.48,0.78,N,Y,2023-04-06,2025-07-22
PLA-CUP-051,Cup Holder Moulding,PLASTIC_MOULDINGS,376.91,0.23,N,Y,2023-08-19,2024-03-09
PLA-DOO-052,Door Sill Plate,PLASTIC_MOULDINGS,1041.96,1.93,Y,Y,2023-03-16,2024-06-24
RAW-ALU-053,Aluminum Sheet,RAW_MATERIALS,1005.14,0.53,Y,Y,2024-01-29,2025-06-18
MEC-NUT-054,Nut Set,MECHANICAL_HARDWARE,1068.61,0.61,N,Y,2023-04-20,2025-06-25
CAB-ACC-055,Accelerator Cable,CABLES,630.5,2.56,N,Y,2023-02-21,2024-09-13
ELE-WIR-056,Wiring Harness,ELECTRONICS,1672.27,2.96,N,Y,2023-05-17,2024-09-03
QUA-VIB-057,Vibration Tester,QUALITY_CONTROL_ITEMS,2039.37,2.69,N,Y,2024-03-29,2025-02-05
ELE-ELE-058,Electronic Relay Unit,ELECTRONICS,406.3,2.6,N,Y,2024-04-01,2025-07-04
TOO-THR-059,Threading Tool,TOOLS & FIXTURES,2101.26,0.9,N,Y,2023-09-23,2024-06-02
CAB-CHO-060,Choke Cable,CABLES,1105.28,2.17,Y,Y,2023-09-02,2024-06-09
ELE-TRA-061,Transmission Control Module,ELECTRONICS,806.08,1.67,Y,Y,2023-10-06,2024-09-13
MEC-PIN-062,Pin Set,MECHANICAL_HARDWARE,963.76,0.54,Y,Y,2023-06-04,2024-01-26
MEC-LOC-063,Lock Nut,MECHANICAL_HARDWARE,1024.92,1.67,N,Y,2023-03-07,2024-05-04
MEC-BOL-064,Bolt Set,MECHANICAL_HARDWARE,2083.9,1.23,Y,Y,2023-03-05,2023-10-02
QUA-MUL-065,Multimeter,QUALITY_CONTROL_ITEMS,24.68,1.12,N,Y,2024-01-25,2025-05-27
LIG-CAB-066,Cabin Light,LIGHTING,1225.69,0.89,N,Y,2024-03-05,2024-10-16
TOO-SOC-067,Socket Set,TOOLS & FIXTURES,846.96,2.07,N,Y,2023-01-30,2024-03-03
LIG-GLO-068,Glovebox Light,LIGHTING,2299.66,2.94,Y,Y,2023-06-19,2024-10-09
TOO-BEA-069,Bearing Puller,TOOLS & FIXTURES,219.03,1.34,N,Y,2024-02-08,2024-03-06
CAB-BRA-070,Brake Cable,CABLES,657.79,1.05,N,Y,2023-07-06,2023-08-26
RAW-GLA-071,Glass Sheet,RAW_MATERIALS,1905.46,1.2,N,Y,2023-12-01,2024-11-10
RAW-COP-072,Copper Sheet,RAW_MATERIALS,1181.06,2.27,Y,Y,2023-09-16,2023-12-08
TOO-TES-073,Test Rig,TOOLS & FIXTURES,1628.86,2.37,Y,Y,2023-12-25,2024-08-10
PLA-ROO-074,Roof Moulding,PLASTIC_MOULDINGS,506.41,0.16,Y,Y,2023-02-01,2023-10-12
RAW-SHE-075,Sheet Metal Roll,RAW_MATERIALS,1189.17,0.43,Y,Y,2023-09-02,2024-01-09
QUA-THE-076,Thermal Imaging Camera,QUALITY_CONTROL_ITEMS,648.05,1.17,Y,Y,2024-04-21,2025-04-14
LIG-STE-077,Step Light,LIGHTING,279.17,0.17,N,Y,2023-06-17,2024-04-30
TOO-CLA-078,Clamping Fixture,TOOLS & FIXTURES,2354.26,0.68,Y,Y,2024-01-20,2025-03-01
RAW-TEX-079,Textile Roll,RAW_MATERIALS,1933.48,2.57,Y,Y,2023-04-15,2025-03-28
BRA-BRA-080,Brake Disc,BRAKE_COMPONENTS,1336.54,2.02,Y,Y,2023-02-12,2024-02-02
BRA-BRA-081,Brake Reservoir,BRAKE_COMPONENTS,859.67,2.56,N,Y,2024-06-02,2025-04-29
LIG-HAL-082,Halogen Bulb Set,LIGHTING,2402.36,1.94,N,Y,2023-04-19,2024-07-05
RAW-POL-083,Polycarbonate Granules,RAW_MATERIALS,448.58,1.61,N,Y,2023-06-06,2024-08-24
CAB-IGN-084,Ignition Cable,CABLES,1094.58,2.22,N,Y,2024-05-10,2025-01-03
TOO-CAB-085,Cable Cutter,TOOLS & FIXTURES,2078.52,0.35,N,Y,2023-11-27,2024-08-04
QUA-THI-086,Thickness Gauge,QUALITY_CONTROL_ITEMS,1428.93,2.04,N,Y,2023-09-07,2024-12-25
ELE-TOU-087,Touchscreen Display Unit,ELECTRONICS,2128.87,0.63,Y,Y,2023-01-30,2024-06-19
LIG-DAY-088,Daytime Running Light,LIGHTING,857.44,2.65,N,Y,2023-12-30,2024-09-19
CAB-THR-089,Throttle Cable,CABLES,2370.68,0.35,N,Y,2023-01-11,2024-06-23
PAC-FOA-090,Foam Padding,PACKAGING_MATERIALS,1897.83,2.1,N,Y,2024-05-15,2025-02-23
RAW-HIG-091,High Carbon Steel Sheet,RAW_MATERIALS,52.94,0.95,N,Y,2024-04-03,2025-05-13
TOO-TOR-092,Torque Wrench,TOOLS & FIXTURES,1663.26,1.17,N,Y,2023-09-07,2024-07-16
LIG-LED-093,LED Headlight,LIGHTING,1380.47,1.12,N,Y,2024-03-11,2025-03-27
PLA-INS-094,Instrument Panel Cover,PLASTIC_MOULDINGS,636.0,0.45,Y,Y,2023-10-05,2024-08-13
PAC-PLA-095,Plastic Pallet,PACKAGING_MATERIALS,1859.77,2.86,Y,Y,2023-11-20,2024-03-21
BRA-BRA-096,Brake Hose,BRAKE_COMPONENTS,1849.13,0.9,N,Y,2023-07-16,2024-02-22
LIG-HIG-097,High Beam Unit,LIGHTING,747.65,1.15,N,Y,2023-04-13,2023-10-28
PLA-WHE-098,Wheel Arch Trim,PLASTIC_MOULDINGS,1340.0,0.9,Y,Y,2023-01-15,2025-01-09
TOO-DEB-099,Deburring Tool,TOOLS & FIXTURES,1598.3,2.28,Y,Y,2023-10-27,2024-03-04
QUA-TES-100,Test Equipment,QUALITY_CONTROL_ITEMS,718.0,1.49,N,Y,2023-01-13,2024-08-22
PLA-STO-101,Storage Box Cover,PLASTIC_MOULDINGS,638.67,2.6,Y,Y,2023-07-08,2023-08-29
MEC-HIN-102,Hinge Assembly,MECHANICAL_HARDWARE,1234.45,1.77,Y,Y,2023-03-08,2024-04-21
TOO-PUN-103,Punch Tool,TOOLS & FIXTURES,2029.74,2.85,Y,Y,2023-06-05,2023-11-04
TOO-MEA-104,Measuring Scale,TOOLS & FIXTURES,1399.6,1.31,Y,Y,2023-09-12,2024-01-11
QUA-FLO-105,Flow Meter,QUALITY_CONTROL_ITEMS,1131.78,1.38,N,Y,2024-06-19,2024-12-30
LIG-REV-106,Reverse Light,LIGHTING,1556.36,1.87,Y,Y,2023-11-09,2025-06-13
MEC-WAS-107,Washer Set,MECHANICAL_HARDWARE,535.45,2.02,Y,Y,2023-08-01,2025-05-02
RAW-CER-108,Ceramic Sheet,RAW_MATERIALS,1384.46,0.55,N,Y,2023-09-03,2024-02-27
PLA-CEN-109,Center Console Panel,PLASTIC_MOULDINGS,1488.59,0.94,Y,Y,2024-04-06,2025-03-24
LIG-SIG-110,Signal Lamp,LIGHTING,1760.44,1.42,Y,Y,2023-10-23,2024-08-07
TOO-HYD-111,Hydraulic Jack,TOOLS & FIXTURES,1478.58,2.43,Y,Y,2023-09-28,2025-06-29
MEC-LAT-112,Latch Assembly,MECHANICAL_HARDWARE,1365.96,1.98,N,Y,2024-03-11,2024-05-08
BRA-CAL-113,Caliper,BRAKE_COMPONENTS,158.5,2.4,N,Y,2023-05-26,2023-08-07
TOO-RIV-114,Riveting Tool,TOOLS & FIXTURES,1177.06,0.98,N,Y,2024-03-25,2024-05-27
TOO-WEL-115,Welding Fixture,TOOLS & FIXTURES,1354.55,1.37,Y,Y,2023-10-06,2025-03-01
QUA-GO/-116,Go/No-Go Gauge,QUALITY_CONTROL_ITEMS,812.58,0.83,Y,Y,2024-03-18,2025-03-29
QUA-FEE-117,Feeler Gauge,QUALITY_CONTROL_ITEMS,2091.54,1.77,Y,Y,2023-08-23,2025-07-13
MEC-BUS-118,Bush Set,MECHANICAL_HARDWARE,110.18,2.29,N,Y,2023-10-03,2025-05-15
CAB-HEA-119,Heater Control Cable,CABLES,1111.15,0.91,N,Y,2024-06-15,2025-05-14
MEC-PUL-120,Pulley Set,MECHANICAL_HARDWARE,1180.33,1.28,N,Y,2024-05-18,2024-07-03
PLA-DAS-121,Dashboard Panel,PLASTIC_MOULDINGS,831.21,2.11,N,Y,2023-04-18,2023-09-29
QUA-MEA-122,Measuring Gauge,QUALITY_CONTROL_ITEMS,1142.52,1.01,N,Y,2024-02-15,2024-03-23
PAC-SIL-123,Silica Gel Pack,PACKAGING_MATERIALS,1016.4,1.59,Y,Y,2023-04-29,2025-06-28
PAC-LAB-124,Label Set,PACKAGING_MATERIALS,144.97,1.6,N,Y,2024-04-18,2024-11-15
MEC-SPA-125,Spacer Set,MECHANICAL_HARDWARE,138.51,0.87,Y,Y,2024-03-28,2025-04-21
ELE-SPE-126,Speed Sensor,ELECTRONICS,2203.31,1.51,Y,Y,2023-10-22,2025-01-12
TOO-DRI-127,Drill Machine,TOOLS & FIXTURES,783.77,0.14,N,Y,2023-09-03,2024-02-12
TOO-PRE-128,Press Machine Tool,TOOLS & FIXTURES,2480.72,2.75,N,Y,2023-04-06,2023-11-22
PAC-WOO-129,Wooden Pallet,PACKAGING_MATERIALS,2082.04,1.55,N,Y,2023-05-01,2025-02-22
MEC-CHA-130,Chain Link Set,MECHANICAL_HARDWARE,690.83,2.52,N,Y,2024-06-05,2025-06-01
PLA-FEN-131,Fender Liner,PLASTIC_MOULDINGS,1382.65,1.21,Y,Y,2023-09-07,2024-12-17
MEC-STU-132,Stud Set,MECHANICAL_HARDWARE,1933.96,2.58,N,Y,2023-03-13,2023-12-20
ELE-RAD-133,Radar Sensor,ELECTRONICS,2053.17,0.92,N,Y,2024-06-03,2024-10-17
QUA-LEA-134,Leak Testing Kit,QUALITY_CONTROL_ITEMS,1121.9,1.5,N,Y,2024-05-16,2024-07-31
PAC-PAP-135,Paper Wrap,PACKAGING_MATERIALS,2332.8,2.62,Y,Y,2024-01-22,2025-05-02
LIG-PRO-136,Projector Headlight,LIGHTING,2141.47,1.29,N,Y,2024-01-28,2024-09-23
PAC-CLO-137,Cloth Bag,PACKAGING_MATERIALS,2284.44,1.21,Y,Y,2024-04-29,2025-04-25
PLA-LIG-138,Light Housing,PLASTIC_MOULDINGS,324.35,2.9,N,Y,2024-05-22,2024-06-09
MEC-BRA-139,Bracket Assembly,MECHANICAL_HARDWARE,258.28,2.74,Y,Y,2023-04-13,2024-07-06
PAC-SEA-140,Seal Tape,PACKAGING_MATERIALS,2178.62,2.91,Y,Y,2023-05-28,2024-07-20
MEC-HOO-141,Hook Assembly,MECHANICAL_HARDWARE,2423.32,1.08,N,Y,2024-04-25,2025-05-30
ELE-ABS-142,ABS Control Module,ELECTRONICS,2132.33,2.59,N,Y,2023-03-24,2024-02-23
CAB-BON-143,Bonnet Release Cable,CABLES,2182.23,0.2,Y,Y,2023-11-21,2025-04-03
RAW-FOA-144,Foam Sheet,RAW_MATERIALS,1714.15,0.93,Y,Y,2023-08-29,2025-06-05
PLA-BEZ-145,Bezel,PLASTIC_MOULDINGS,2446.06,2.31,Y,Y,2023-04-03,2024-06-20
BRA-BRA-146,Brake Booster,BRAKE_COMPONENTS,1738.06,2.72,Y,Y,2024-03-30,2024-06-23
QUA-MIC-147,Micrometer,QUALITY_CONTROL_ITEMS,740.49,1.19,Y,Y,2023-11-29,2024-01-25
PAC-CAR-148,Cardboard Box,PACKAGING_MATERIALS,1036.01,2.08,Y,Y,2023-09-08,2025-03-04
CAB-DOO-149,Door Latch Cable,CABLES,206.63,2.63,Y,Y,2023-06-24,2023-12-20
BRA-BRA-150,Brake Line,BRAKE_COMPONENTS,366.36,1.44,N,Y,2024-05-24,2025-03-18
TOO-CUT-151,Cutting Blade,TOOLS & FIXTURES,1670.43,2.71,N,Y,2024-04-15,2024-08-23
MEC-SHA-152,Shaft Assembly,MECHANICAL_HARDWARE,403.36,1.38,N,Y,2023-10-22,2025-05-03
ELE-MAP-153,Map Sensor,ELECTRONICS,1728.88,1.42,N,Y,2023-11-03,2025-01-10
RAW-RUB-154,Rubber Granules,RAW_MATERIALS,2134.81,0.41,N,Y,2023-07-23,2024-08-19
PLA-SPE-155,Speaker Grille,PLASTIC_MOULDINGS,2481.8,0.96,N,Y,2024-01-03,2024-10-31
RAW-NYL-156,Nylon Granules,RAW_MATERIALS,1419.16,2.09,Y,Y,2023-10-09,2023-10-17
QUA-COA-157,Coating Thickness Gauge,QUALITY_CONTROL_ITEMS,2261.35,0.93,Y,Y,2024-05-23,2025-07-23
MEC-FAS-158,Fastener Kit,MECHANICAL_HARDWARE,1595.18,1.9,Y,Y,2023-12-27,2024-08-07
LIG-TRU-159,Trunk Light,LIGHTING,1619.39,1.0,N,Y,2023-04-10,2025-01-11
RAW-RUB-160,Rubber Sheet,RAW_MATERIALS,918.5,0.48,N,Y,2023-02-04,2024-09-19
CAB-ABS-161,ABS Sensor Cable,CABLES,447.34,0.48,N,Y,2023-12-01,2025-01-29
ELE-KNO-162,Knock Sensor,ELECTRONICS,2284.58,2.51,N,Y,2024-06-27,2025-03-10
ELE-ECU-163,ECU (Engine Control Unit),ELECTRONICS,744.9,2.62,Y,Y,2024-05-08,2025-06-24
BRA-BRA-164,Brake Fluid Cap,BRAKE_COMPONENTS,360.48,2.9,N,Y,2024-04-24,2024-06-01
BRA-BRA-165,Brake Adjuster Kit,BRAKE_COMPONENTS,1978.8,0.14,Y,Y,2024-01-10,2024-04-11
LIG-ROO-166,Roof Marker Light,LIGHTING,1685.34,2.05,N,Y,2024-04-10,2024-10-15
BRA-DRU-167,Drum Lining,BRAKE_COMPONENTS,1690.34,1.47,N,Y,2024-01-16,2024-05-05
RAW-PVC-168,PVC Granules,RAW_MATERIALS,167.41,2.49,N,Y,2023-08-15,2025-06-08
PLA-SEA-169,Seat Belt Cover,PLASTIC_MOULDINGS,358.04,2.84,N,Y,2024-02-23,2024-06-21
TOO-SCR-170,Screwdriver Set,TOOLS & FIXTURES,252.01,2.67,Y,Y,2024-05-19,2024-07-17
PAC-GUM-171,Gummed Tape,PACKAGING_MATERIALS,933.82,2.85,N,Y,2024-02-02,2025-05-11
LIG-HEA-172,Headlamp,LIGHTING,1640.76,2.52,N,Y,2023-06-08,2024-08-05
QUA-HEI-173,Height Gauge,QUALITY_CONTROL_ITEMS,1728.8,0.73,N,Y,2023-10-14,2023-11-16
PAC-THE-174,Thermocol Sheet,PACKAGING_MATERIALS,257.39,2.09,N,Y,2023-08-30,2024-09-04
ELE-CON-175,Control Switch Panel,ELECTRONICS,696.94,2.91,N,Y,2023-03-04,2024-04-14
ELE-IGN-176,Ignition Control Module,ELECTRONICS,538.14,1.95,Y,Y,2023-04-04,2025-02-10
RAW-STA-177,Stainless Steel Rod,RAW_MATERIALS,840.44,2.97,Y,Y,2023-02-21,2025-05-06
PAC-HON-178,Honeycomb Board,PACKAGING_MATERIALS,1915.24,0.7,Y,Y,2023-03-12,2025-07-08
CAB-TAI-179,Tailgate Release Cable,CABLES,1938.18,2.39,Y,Y,2023-08-27,2024-07-28
LIG-HAZ-180,Hazard Light Unit,LIGHTING,2468.94,1.67,Y,Y,2023-10-11,2024-03-07
MEC-CRA-181,Crank Arm,MECHANICAL_HARDWARE,2167.46,0.48,N,Y,2023-04-23,2025-02-27
BRA-DIS-182,Disc Rotor,BRAKE_COMPONENTS,816.19,0.61,Y,Y,2023-09-01,2025-04-25
RAW-BRA-183,Brass Rod,RAW_MATERIALS,1058.19,0.43,Y,Y,2023-05-10,2025-06-07
RAW-CAS-184,Cast Iron Bar,RAW_MATERIALS,1947.26,1.59,Y,Y,2024-05-02,2024-12-17
BRA-BRA-185,Brake Pad,BRAKE_COMPONENTS,561.66,1.88,N,Y,2024-04-07,2024-12-20
MEC-BEA-186,Bearing Assembly,MECHANICAL_HARDWARE,2410.43,0.28,N,Y,2024-04-14,2025-03-09
CAB-AC-187,AC Control Cable,CABLES,1718.38,1.52,N,Y,2024-02-16,2025-04-27
BRA-CAL-188,Caliper Bracket,BRAKE_COMPONENTS,812.06,0.53,Y,Y,2023-03-17,2023-06-07
LIG-BRA-189,Brake Light,LIGHTING,1586.36,1.69,N,Y,2023-10-09,2025-07-09
MEC-ANC-190,Anchor Bolt,MECHANICAL_HARDWARE,744.3,1.57,N,Y,2024-01-26,2025-07-22
PLA-AIR-191,Air Vent Housing,PLASTIC_MOULDINGS,1757.43,2.57,Y,Y,2023-04-12,2025-07-02
PAC-STR-192,Strapping Roll,PACKAGING_MATERIALS,2221.35,1.3,N,Y,2024-03-16,2024-11-02
CAB-GRO-193,Ground Cable,CABLES,1826.74,1.01,N,Y,2024-02-13,2025-04-13
ELE-OXY-194,Oxygen Sensor,ELECTRONICS,2384.45,2.09,N,Y,2023-09-19,2024-10-06
QUA-CAL-195,Caliper Tool,QUALITY_CONTROL_ITEMS,2081.11,0.37,Y,Y,2023-03-10,2023-06-11
BRA-BRA-196,Brake Back Plate,BRAKE_COMPONENTS,1395.36,1.8,N,Y,2024-01-17,2024-05-29
BRA-PAR-197,Parking Brake Lever,BRAKE_COMPONENTS,890.46,2.03,N,Y,2023-05-06,2024-06-29
CAB-FUE-198,Fuel Lid Release Cable,CABLES,1505.02,1.12,Y,Y,2023-02-22,2023-12-13
BRA-BRA-199,Brake Anchor Plate,BRAKE_COMPONENTS,1210.65,2.56,N,Y,2023-06-08,2025-04-10
QUA-TEM-200,Temperature Gauge,QUALITY_CONTROL_ITEMS,1908.89,1.76,N,Y,2024-01-12,2024-05-08
QUA-DIA-201,Dial Indicator,QUALITY_CONTROL_ITEMS,2323.42,2.51,N,Y,2023-01-27,2024-10-11
BRA-BRA-202,Brake Pedal Assembly,BRAKE_COMPONENTS,690.44,2.31,N,Y,2023-01-30,2023-08-02
PAC-COR-203,Corner Guard,PACKAGING_MATERIALS,461.7,0.52,N,Y,2023-12-26,2024-01-01
QUA-PRE-204,Pressure Gauge,QUALITY_CONTROL_ITEMS,1855.01,2.92,Y,Y,2023-03-13,2023-08-05
LIG-XEN-205,Xenon Bulb Set,LIGHTING,946.72,1.42,Y,Y,2024-06-27,2024-10-15
TOO-DIA-206,Dial Gauge,TOOLS & FIXTURES,1806.77,2.35,Y,Y,2024-01-14,2024-11-28
BRA-BRA-207,Brake Spring Kit,BRAKE_COMPONENTS,401.95,1.89,Y,Y,2023-02-23,2023-08-01
QUA-SUR-208,Surface Roughness Tester,QUALITY_CONTROL_ITEMS,1658.23,1.51,N,Y,2023-10-06,2025-01-01
PAC-SHR-209,Shrink Wrap,PACKAGING_MATERIALS,546.77,1.59,N,Y,2024-02-29,2024-12-04
LIG-SID-210,Side Marker Light,LIGHTING,715.28,2.07,N,Y,2024-03-16,2024-05-11
TOO-SPA-211,Spanner Set,TOOLS & FIXTURES,777.96,0.74,Y,Y,2024-06-23,2025-05-30
PAC-EDG-212,Edge Protector,PACKAGING_MATERIALS,760.53,0.71,Y,Y,2023-01-08,2023-08-05
CAB-CLU-213,Clutch Cable,CABLES,827.02,0.12,N,Y,2023-09-19,2024-07-11
TOO-PLI-214,Pliers Set,TOOLS & FIXTURES,956.72,2.14,N,Y,2023-06-29,2023-11-08
ELE-RAI-215,Rain Sensor,ELECTRONICS,2155.79,0.22,Y,Y,2023-03-15,2024-04-24
RAW-COP-216,Copper Wire,RAW_MATERIALS,203.88,1.01,N,Y,2024-04-15,2025-07-30
PLA-GEA-217,Gear Shift Panel,PLASTIC_MOULDINGS,730.89,1.27,N,Y,2024-02-19,2025-04-21
ELE-GPS-218,GPS Tracker,ELECTRONICS,1155.64,2.1,N,Y,2023-06-25,2025-03-18
PLA-DOO-219,Door Handle Cover,PLASTIC_MOULDINGS,2112.77,0.81,N,Y,2023-04-01,2024-06-21
QUA-WEI-220,Weight Scale,QUALITY_CONTROL_ITEMS,995.46,1.0,N,Y,2024-06-20,2024-07-30
